date,state,deaths,cases
2020-01-22,Alabama,0,0
2020-01-22,Alaska,0,0
2020-01-22,American Samoa,0,0
2020-01-22,Arizona,0,0
2020-01-22,Arkansas,0,0
2020-01-22,California,0,0
2020-01-22,Colorado,0,0
2020-01-22,Connecticut,0,0
2020-01-22,Delaware,0,0
2020-01-22,Diamond Princess,0,0
2020-01-22,District of Columbia,0,0
2020-01-22,Florida,0,0
2020-01-22,Georgia,0,0
2020-01-22,Grand Princess,0,0
2020-01-22,Guam,0,0
2020-01-22,Hawaii,0,0
2020-01-22,Idaho,0,0
2020-01-22,Illinois,0,0
2020-01-22,Indiana,0,0
2020-01-22,Iowa,0,0
2020-01-22,Kansas,0,0
2020-01-22,Kentucky,0,0
2020-01-22,Louisiana,0,0
2020-01-22,Maine,0,0
2020-01-22,Maryland,0,0
2020-01-22,Massachusetts,0,0
2020-01-22,Michigan,0,0
2020-01-22,Minnesota,0,0
2020-01-22,Mississippi,0,0
2020-01-22,Missouri,0,0
2020-01-22,Montana,0,0
2020-01-22,Nebraska,0,0
2020-01-22,Nevada,0,0
2020-01-22,New Hampshire,0,0
2020-01-22,New Jersey,0,0
2020-01-22,New Mexico,0,0
2020-01-22,New York,0,0
2020-01-22,North Carolina,0,0
2020-01-22,North Dakota,0,0
2020-01-22,Northern Mariana Islands,0,0
2020-01-22,Ohio,0,0
2020-01-22,Oklahoma,0,0
2020-01-22,Oregon,0,0
2020-01-22,Pennsylvania,0,0
2020-01-22,Puerto Rico,0,0
2020-01-22,Rhode Island,0,0
2020-01-22,South Carolina,0,0
2020-01-22,South Dakota,0,0
2020-01-22,Tennessee,0,0
2020-01-22,Texas,0,0
2020-01-22,Utah,0,0
2020-01-22,Vermont,0,0
2020-01-22,Virgin Islands,0,0
2020-01-22,Virginia,0,0
2020-01-22,Washington,0,1
2020-01-22,West Virginia,0,0
2020-01-22,Wisconsin,0,0
2020-01-22,Wyoming,0,0
2020-01-23,Alabama,0,0
2020-01-23,Alaska,0,0
2020-01-23,American Samoa,0,0
2020-01-23,Arizona,0,0
2020-01-23,Arkansas,0,0
2020-01-23,California,0,0
2020-01-23,Colorado,0,0
2020-01-23,Connecticut,0,0
